鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
大安區,房地(土地+建物)+車位,臺北市大安區金山南路二段181~210號,20.29,住,,,1081123,土地4建物1車位1,七層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080910,177.0,3,2,2,有,有,49000000,350331,坡道平面,45.42,2900000,親友、員工或其他特殊關係間之交易。;土地及建物分次登記案件。前案土地登記收件字號：;,RPSNMLTLKHPFFFA78CA
大安區,房地(土地+建物)+車位,臺北市大安區金山南路二段181~210號,20.11,住,,,1081130,土地4建物1車位1,七層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080910,169.64999999999998,3,2,2,有,有,48500000,351012,坡道平面,39.18,2700000,親友、員工或其他特殊關係間之交易。;,RPTNMLTLKHPFFFA88CA
大安區,房地(土地+建物)+車位,臺北市大安區金山南路二段181~210號,20.29,住,,,1081123,土地4建物1車位1,七層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080910,177.0,3,2,2,有,有,49000000,350331,坡道平面,45.42,2900000,親友、員工或其他特殊關係間之交易。;,RPUNMLTLKHPFFFA98CA
大安區,房地(土地+建物)+車位,臺北市大安區和平東路一段91~120號,37.64,商,,,1081105,土地1建物1車位2,九層,三十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1031224,569.03,1,2,5,有,有,223500000,420551,坡道平面,53.04,6500000,,RPUNMLNKKHPFFFA28CA
大安區,房地(土地+建物)+車位,臺北市大安區和平東路一段91~120號,38.1,商,,,1081105,土地1建物1車位3,十三層,三十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1031224,608.0699999999999,1,2,5,有,有,239500000,445736,坡道平面,92.07,9500000,,RPVNMLNKKHPFFFA38CA
松山區,房地(土地+建物),臺北市松山區南京東路五段31~60號,12.46,其他,,,1081213,土地1建物1車位0,四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790216,150.38,3,2,2,有,有,29500000,196170,,0.0,0,含增建或未登記建物。;,RPUOMLPKKHPFFDA38CA
南港區,房地(土地+建物)+車位,臺北市南港區經貿二路157巷31~60號,49.35,住,,,1081210,土地1建物1車位2,十五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010716,314.83000000000004,4,2,2,有,有,73000000,231871,坡道平面,41.66,0,,RPPNMLPJKHPFFDA67CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段1~30號,28.42,住,,,1081004,土地2建物1車位2,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071109,251.03,3,2,2,有,有,68820000,338981,坡道平面,67.48,6600000,,RPUPMLOLKHPFFCA38CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段1~30號,31.03,住,,,1081004,土地2建物1車位2,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071109,267.78,3,2,2,有,有,69900000,316026,坡道平面,67.48,6600000,,RPWPMLOLKHPFFCA58CA
中山區,房地(土地+建物)+車位,臺北市中山區林森北路481~510號,4.7,商,,,1090115,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920122,63.03,2,1,1,有,有,10280000,163097,坡道機械,0.0,0,,RPQRMLMKKHPFFCA87CA
萬華區,房地(土地+建物)+車位,臺北市萬華區長沙街二段121~150號,15.97,商,,,1090104,土地2建物1車位2,十五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080304,238.95999999999998,3,2,2,有,有,36150000,202963,坡道平面,83.02,4500000,1.本案因賣方需辦理車位調整後再行移轉，故公契及私契立契日不同，本申報立契日為私契日期。2.建物清冊公設內含車位面積。,RPUOMLNKKHPFFBA97CA
萬華區,房地(土地+建物)+車位,臺北市萬華區漢口街二段31~60號,7.81,商,,,1090110,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010530,120.97,2,2,1,有,有,21500000,177730,升降機械,0.0,0,,RPRNMLKKKHPFFBA27CA
文山區,房地(土地+建物)+車位,臺北市文山區興隆路二段203巷151~180號,40.8,住,,,1081127,土地4建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030808,155.84,3,2,2,有,有,23200000,148871,坡道機械,15.3,0,含增建或未登記建物。;,RPROMLRKKHPFFAA97CA
中山區,房地(土地+建物)+車位,臺北市中山區松江路391~420號,29.21,住,,,1081201,土地2建物1車位2,四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040713,350.07,0,0,0,無,有,85000000,242809,坡道平面,59.54,0,,RPORMLPJKHPFFCA87CA
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路四段91~120號,34.81,商,,,1081224,土地2建物1車位2,十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030827,381.34000000000003,4,2,3,有,有,88000000,230765,坡道平面,0.0,0,,RPRPMLLKKHPFFCA67CA
中山區,房地(土地+建物)+車位,臺北市中山區中山北路三段31~60號,9.87,商,,,1081226,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1061020,99.47999999999999,2,2,2,有,有,29000000,291516,升降機械,7.44,0,親友、員工或其他特殊關係間之交易。;,RPWOMLQJKHPFFCA48CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路三段60巷1~30號,31.62,住,,,1081224,土地1建物1車位2,六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060407,259.90999999999997,3,2,2,有,有,46000000,203000,坡道平面,57.94,5000000,,RPUPMLQLKHPFFCA58CA
南港區,房地(土地+建物),臺北市南港區東明街31~60號,21.72,住,,,1081116,土地1建物1車位0,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971110,97.38999999999999,2,2,2,有,有,22700000,233083,,0.0,0,含增建或未登記建物。;,RPRNMLQJKHPFFDA97CA
松山區,房地(土地+建物),臺北市松山區民生東路五段151~180號,4.13,商,,,1090108,土地1建物1車位0,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720915,44.71,2,2,1,有,有,9000000,201297,,0.0,0,本案為持分買賣,RPWNMLQJKHPFFDA48CA
松山區,房地(土地+建物),臺北市松山區健康路151~180號,16.69,住,,,1081216,土地6建物2車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0670720,166.03,3,2,2,有,無,25000000,150575,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTPMLRJKHPFFDA48CA
北投區,房地(土地+建物)+車位,臺北市北投區雙全街1~30號,10.55,商,,,1081229,土地2建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960518,122.27,2,2,1,有,有,15600000,127586,升降平面,39.78,0,含增建或未登記建物。;,RPSOMLQJKHPFFEA28CA
文山區,房地(土地+建物)+車位,臺北市文山區興隆路四段105巷1~30號,23.8,住,,,1081215,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840821,144.3,2,1,2,有,有,16000000,110880,坡道平面,33.39,0,親友、員工或其他特殊關係間之交易。;,RPTNMLQJKHPFFAA97DA
文山區,房地(土地+建物)+車位,臺北市文山區汀州路四段181~210號,38.91,住,,,1081124,土地1建物1車位2,十四層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000113,322.39,6,2,3,有,有,62000000,228462,坡道平面,72.02,4800000,含增建或未登記建物。;,RPUOMLQJKHPFFAA18DA
中山區,房地(土地+建物)+車位,臺北市中山區明水路571~600號,36.09,住,,,1081224,土地1建物1車位1,二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840223,222.0,4,2,2,有,有,46000000,237148,坡道平面,38.58,2500000,含增建或未登記建物。,RPRNMLTJKHPFFCA28DA
南港區,房地(土地+建物),臺北市南港區興中路28巷1~30號,7.01,商,,,1081215,土地1建物1車位0,十四層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011001,81.98,2,2,1,有,有,18600000,226885,,0.0,0,,RPUNMLKLKHPFFDA97DA
大安區,房地(土地+建物)+車位,臺北市大安區和平東路三段212巷31~60號,22.8,住,,,1081217,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060926,178.53,2,2,2,有,有,39000000,254373,坡道平面,35.04,2500000,,RPROMLSKKHPFFFA68DA
松山區,房地(土地+建物),臺北市松山區民生東路五段181~210號,2.12,商,,,1081224,土地1建物1車位0,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0721229,26.78,1,0,1,有,有,5500000,205377,,0.0,0,含增建或未登記建物。,RPUNMLTJKHPFFDA68DA
內湖區,房地(土地+建物)+車位,臺北市內湖區新富街151~180號,50.96,住,,,1081230,土地1建物1車位2,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010601,347.09000000000003,3,2,4,有,有,69880000,247416,坡道平面,84.86,5000000,,RPQRMLTKKHPFFCA68DA
大同區,房地(土地+建物)+車位,臺北市大同區承德路二段61~90號,15.0,商,,,1081230,土地2建物1車位1,三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060925,193.56,3,2,2,有,有,38000000,232097,坡道平面,42.33,2900000,,RPWOMLKKKHPFFBA97DA
中正區,房地(土地+建物)+車位,臺北市中正區忠孝東路二段121~150號,14.75,商,,,1081124,土地2建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990629,151.79,3,2,2,有,有,50300000,339585,其他,11.03,2500000,,RPPNMLTJKHPFFBA97DA
萬華區,房地(土地+建物)+車位,臺北市萬華區昆明街181~210號,14.67,商,,,1081207,土地1建物1車位1,七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000623,200.61,3,2,2,有,有,31180000,179429,坡道平面,40.77,2500000,,RPWOMLSKKHPFFBA78DA
中正區,房地(土地+建物)+車位,臺北市中正區新生南路一段151~180號,35.33,商,,,1081207,土地1建物1車位2,八層,十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1040213,384.98,3,2,4,有,有,143880000,436384,坡道平面,69.02,6000000,含增建或未登記建物。;,RPWPMLTKKHPFFBA98DA
大安區,房地(土地+建物),臺北市大安區復興南路二段171巷1~30號,25.33,住,,,1090103,土地1建物1車位0,九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740522,128.87,3,2,2,有,有,26980000,209358,,0.0,0,,RPSNMLMKKHPFFFA97CA
士林區,房地(土地+建物),臺北市士林區福國路91~120號,16.43,商,,,1090108,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0680503,122.17999999999999,3,2,2,有,有,6600000,54019,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTNMLRJKHPFFEA38CA
中山區,房地(土地+建物)+車位,臺北市中山區林森北路451~480號,4.7,商,,,1081204,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920122,63.89,1,1,1,有,有,10000000,156519,坡道機械,19.78,0,親友、員工或其他特殊關係間之交易。;,RPSOMLNJLHPFFCA87CA
中山區,房地(土地+建物)+車位,臺北市中山區吉林路1~30號,53.42,住,,,1081210,土地1建物1車位3,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1000503,429.88,4,2,2,有,有,103500000,285786,坡道平面,109.71,12000000,,RPQRMLNKKHPFFCA97CA
萬華區,房地(土地+建物)+車位,臺北市萬華區長沙街二段121~150號,19.64,商,,,1081225,土地2建物1車位2,十六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080304,281.9,2,2,2,有,有,45660000,204948,坡道平面,83.02,4900000,1.本案因賣方需辦理車位調整後再行移轉，故公契及私契立契日不同，本申報立契日為私契日期。2.建物清冊公設建號內含車位面積。,RPWOMLNKKHPFFBA18CA
中正區,房地(土地+建物)+車位,臺北市中正區師大路211~240號,10.24,住,,,1081229,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991027,100.31,2,2,1,有,有,19800000,236251,其他,24.12,1800000,含增建或未登記建物。;,RPROMLNKKHPFFAA57CA
中山區,房地(土地+建物),臺北市中山區中山北路二段181~210號,18.72,商,,,1081231,土地1建物1車位0,八層,十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080604,222.27999999999997,3,2,3,有,有,69400000,312219,,0.0,0,,RPWNMLKKKHPFFCA87CA
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路四段167巷1~30號,40.72,住,,,1081203,土地2建物2車位2,十層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940627,300.36,4,2,2,有,有,58000000,193102,坡道平面,82.0,0,含增建或未登記建物。;,RPUPMLKKKHPFFCA87CA
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路四段151~180號,16.97,其他,,,1081223,土地1建物1車位1,二十六層,二十九層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1070223,238.09,0,0,0,無,有,62920000,289344,坡道平面,29.1,2450000,1.毛胚屋,RPXNMLPKKHPFFCA48CA
內湖區,房地(土地+建物)+車位,臺北市內湖區潭美街61~90號,26.64,住,,,1081223,土地1建物1車位2,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011206,133.51999999999998,1,1,1,有,有,22850000,171135,塔式車位,4.84,0,,RPRNMLSKKHPFFCA18CA
內湖區,房地(土地+建物),臺北市內湖區成功路五段31~60號,27.74,商,,,1081216,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840725,157.59,3,2,2,有,有,25000000,158640,,0.0,0,,RPSNMLSKKHPFFCA28CA
士林區,房地(土地+建物)+車位,臺北市士林區中正路421~450號,23.5,商,,,1081229,土地2建物1車位1,十六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890211,161.18,3,2,2,有,有,30000000,186127,坡道平面,0.0,0,含增建或未登記建物。;,RPQPMLRJKHPFFEA28CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,4.49,商,,,1081221,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961025,52.2,3,1,1,有,有,10500000,201149,,0.0,0,含增建或未登記建物。;,RPOQMLRJKHPFFBA97DA
萬華區,房地(土地+建物)+車位,臺北市萬華區東園街66巷24弄1~30號,27.36,住,,,1090106,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060515,207.9,4,1,2,有,有,29831111,143488,坡道平面,0.0,0,向政府機關承購之案件。;,RPVNMLKKKHPFFBA77DA
中山區,房地(土地+建物)+車位,臺北市中山區南京東路二段1~30號,18.99,商,,,1081112,土地3建物1車位1,十八層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1061208,239.51,3,2,2,有,有,82180000,396293,坡道平面,40.97,3500000,,RPPNMLKKKHPFFCA27DA
中山區,房地(土地+建物)+車位,臺北市中山區北安路811~840號,12.04,住,,,1090101,土地2建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991224,133.51,2,1,1,有,有,25200000,248087,坡道平面,42.01,2500000,,RPQPMLSKKHPFFCA38DA
北投區,房地(土地+建物)+車位,臺北市北投區中央北路三段40巷34弄1~30號,25.06,住,,,1081209,土地1建物1車位1,十七層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010731,182.67,3,2,2,有,有,22700000,138267,坡道平面,32.96,2000000,,RPTNMLSJKHPFFEA58DA
大安區,房地(土地+建物),臺北市大安區辛亥路二段151~180號,12.79,住,,,1081124,土地3建物1車位0,二十四層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720125,191.98,4,2,2,有,有,48500000,252630,,0.0,0,含增建或未登記建物。;,RPOOMLNKKHPFFFA77CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,21.82,住,,,1080916,土地2建物1車位2,二十二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,283.48,0,0,0,無,無,75150000,327817,坡道平面,76.2,7200000,,RPPOMLPKKHPFFEA97CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,21.82,住,,,1080916,土地2建物1車位2,二十二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,282.15999999999997,0,0,0,無,無,74850000,330889,坡道平面,76.2,6700000,,SPPOMLPKKHPFFEA08CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,19.98,住,,,1061107,土地2建物1車位1,六層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,226.19,3,2,2,有,無,55360000,277314,坡道平面,38.1,3200000,本案為預售,RPQOMLPKKHPFFEA08CA
信義區,房地(土地+建物),臺北市信義區忠孝東路五段1~30號,10.49,商,,,1081125,土地10建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0730116,136.11,3,2,2,有,有,33760000,248035,,0.0,0,含增建或未登記建物。,RPVNMLNKKHPFFDA28DA
中山區,房地(土地+建物)+車位,臺北市中山區吉林路1~30號,57.42,住,,,1081210,土地2建物1車位4,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1010625,506.56000000000006,3,2,3,有,有,106000000,209255,坡道平面,0.0,0,,RPQSMLQLKHPFFCA48CA
內湖區,房地(土地+建物),臺北市內湖區星雲街168巷31~60號,8.4,住,,,1090102,土地1建物1車位0,十層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860124,44.37,2,1,1,有,有,8000000,180302,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLOKKHPFFCA87CA
內湖區,房地(土地+建物)+車位,臺北市內湖區新明路428巷1~30號,12.28,住,,,1081216,土地1建物1車位1,八層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080506,106.39,2,1,1,有,有,6060000,56960,坡道平面,30.74,0,親友、員工或其他特殊關係間之交易。;,RPSOMLRKKHPFFCA28CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段331~360號,27.57,住,,,1090103,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031023,181.86,3,2,2,有,有,33800000,185847,坡道平面,41.55,0,,RPOQMLKKKHPFFCA37CA
中正區,房地(土地+建物),臺北市中正區汀州路二段31~60號,11.05,商,,,1081216,土地3建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850126,103.92,2,2,2,有,有,20000000,192456,,0.0,0,,RPWNMLLKKHPFFAA77CA
西區,房地(土地+建物),臺中市西區民權路181~210號,7.42,商,,,1081228,土地3建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720819,99.12,2,2,1,有,有,3550000,35815,,0.0,0,含增建或未登記建物。,RPPPMLOJKHPFFAB57CA
西區,房地(土地+建物),臺中市西區樂群街271~300號,21.41,住,,,1081216,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820909,162.01999999999998,3,2,2,有,無,9280000,57277,,0.0,0,,RPOPMLLLKHPFFAB37CA
北屯區,房地(土地+建物)+車位,臺中市北屯區軍福七路151~180號,22.17,住,,,1081219,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031106,196.33999999999997,3,2,2,有,有,13300000,67740,坡道平面,27.53,0,,RPPPMLNJKHPFFBB57CA
北屯區,房地(土地+建物)+車位,臺中市北屯區軍和街1~30號,24.92,住,,,1090112,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0801226,174.79,3,2,2,有,有,7660000,43822,坡道平面,37.0,0,,RPXOMLQJKHPFFBB58CA
北區,房地(土地+建物),臺中市北區健行路421~450號,3.96,住,,,1090110,土地1建物1車位0,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840526,33.730000000000004,1,0,1,有,有,1640000,48621,,0.0,0,,RPOPMLRJKHPFFBB87CA
西屯區,房地(土地+建物)+車位,臺中市西屯區黎明路三段151~180號,47.35,住,,,1090114,土地2建物1車位3,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021016,448.35,3,2,4,有,有,36500000,81410,坡道平面,86.43,0,,RPXNMLPJKHPFFCB48CA
